epsilon,gamma,achieved_epsilon,achieved_fairness_gap,accuracy,coverage
2.0,0.01,1.9900386637816347,0.014423839483493,74.27652733118971,0.8293333333333334
3.0,0.01,2.9980229739358397,0.00892851766228,78.61952861952862,0.792
4.0,0.01,3.9832768430772223,0.0081993263365148,78.14784727863525,0.8206666666666667
5.0,0.01,4.979412901005157,0.0102313827812717,80.21086780210868,0.822
